Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,3238,18.90808915602304,44,250.8177777777778,100,100,100,0.1
larger_population,3562,5.441996283514734,19,309.3165326633166,200,38,100,0.15
more_generations,3626,9.890656063618291,15,327.0193939393939,100,34,200,0.1
aggressive_mutation,3501,11.389521640091116,22,297.169696969697,100,41,100,0.3
large_tournament,3325,11.990471148755956,24,258.45232323232324,100,95,100,0.1
balanced_large,3131,20.47244094488189,56,257.2161306532663,200,151,200,0.2
