Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1380,17.41472172351885,30,44.24141414141414,100,69,100,0.1
larger_population,1400,17.888563049853374,44,46.36180904522613,200,63,100,0.15
more_generations,1379,18.208778173190986,23,45.103434343434344,100,42,200,0.1
aggressive_mutation,1383,20.196191575302944,49,47.01434343434344,100,68,100,0.3
large_tournament,1406,19.288174512055107,28,43.572929292929295,100,47,100,0.1
balanced_large,1374,15.808823529411764,21,47.61100502512563,200,40,200,0.2
