Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1825,19.104609929078016,60,101.24080808080808,100,99,100,0.1
larger_population,1699,21.342592592592595,44,109.28447236180905,200,78,100,0.15
more_generations,1854,9.47265625,39,112.87737373737373,100,83,200,0.1
aggressive_mutation,1777,20.56325435851587,66,121.81313131313131,100,85,100,0.3
large_tournament,1835,18.15343443354148,23,94.72828282828283,100,42,100,0.1
balanced_large,1695,25.297487880123406,17,99.38226130653267,200,88,200,0.2
