Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,896,17.79816513761468,11,38.214343434343434,100,50,100,0.1
larger_population,898,19.53405017921147,18,39.028643216080404,200,76,100,0.15
more_generations,932,11.992445703493862,26,32.73737373737374,100,62,200,0.1
aggressive_mutation,963,13.864042933810374,19,38.30343434343435,100,38,100,0.3
large_tournament,967,10.710987996306557,11,33.425858585858585,100,30,100,0.1
balanced_large,890,22.134733158355203,25,30.949195979899496,200,99,200,0.2
