Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,906,19.60958296362023,46,37.07939393939394,100,65,100,0.1
larger_population,886,16.257088846880908,12,36.949246231155776,200,52,100,0.15
more_generations,890,16.27469426152399,62,31.833131313131314,100,81,200,0.1
aggressive_mutation,890,16.51031894934334,12,45.13353535353535,100,98,100,0.3
large_tournament,942,13.815187557182067,11,33.70505050505051,100,30,100,0.1
balanced_large,865,12.80241935483871,30,32.670653266331655,200,49,200,0.2
