Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1630,10.782703886152161,18,113.62828282828283,100,100,100,0.1
larger_population,1610,20.454545454545457,55,113.88065326633166,200,74,100,0.15
more_generations,1696,16.246913580246915,45,119.89333333333333,100,64,200,0.1
aggressive_mutation,1730,14.229053049082797,27,118.9230303030303,100,46,100,0.3
large_tournament,1592,20.32032032032032,25,96.22222222222223,100,90,100,0.1
balanced_large,1628,18.27309236947791,57,108.6227135678392,200,98,200,0.2
