Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1340,13.826366559485532,16,47.155353535353534,100,61,100,0.1
larger_population,1239,22.36842105263158,38,50.63452261306533,200,57,100,0.15
more_generations,1336,14.358974358974358,14,42.26949494949495,100,33,200,0.1
aggressive_mutation,1221,21.73076923076923,30,52.11090909090909,100,100,100,0.3
large_tournament,1349,18.832731648616125,14,41.91131313131313,100,46,100,0.1
balanced_large,1238,20.894568690095845,38,45.35718592964824,200,57,200,0.2
