Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1375,20.382165605095544,22,50.276363636363634,100,56,100,0.1
larger_population,1401,20.668176670441678,22,56.34562814070352,200,41,100,0.15
more_generations,1332,22.827346465816916,18,46.55232323232323,100,82,200,0.1
aggressive_mutation,1294,24.94199535962877,40,61.28909090909091,100,87,100,0.3
large_tournament,1373,21.182548794489094,28,44.815555555555555,100,86,100,0.1
balanced_large,1290,22.054380664652566,22,54.9991959798995,200,109,200,0.2
