Parameter Set,Best Fitness,Improvement %,Generations,Convergence Gen,Final Diversity
baseline,940.0,17.10758377425044,47,0,164.3959595959596
larger_population,870.0,21.266968325791854,84,0,157.954824120603
more_generations,919.0,15.143120960295475,84,0,139.4481407035176
aggressive_mutation,893.0,20.053715308863026,66,0,144.85179487179488
large_tournament,921.0,17.98753339269813,66,0,140.08314381270904
balanced_large,872.0,17.96801505174036,124,0,138.1316164994426
