Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2040,20.622568093385212,65,100.47474747474747,100,84,100,0.1
larger_population,1929,24.144710971293748,36,103.90899497487437,200,55,100,0.15
more_generations,2111,14.3262987012987,43,119.14161616161616,100,128,200,0.1
aggressive_mutation,1969,25.865963855421686,24,108.6050505050505,100,90,100,0.3
large_tournament,2027,21.06697819314642,62,93.47272727272727,100,95,100,0.1
balanced_large,1961,19.466119096509242,29,92.93371859296482,200,90,200,0.2
