Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1233,17.137096774193548,27,73.9309090909091,100,46,100,0.1
larger_population,1183,18.58224363386098,40,80.22442211055277,200,59,100,0.15
more_generations,1180,23.42634652822842,79,76.17515151515151,100,98,200,0.1
aggressive_mutation,1139,17.880317231434752,54,79.23333333333333,100,86,100,0.3
large_tournament,1147,24.93455497382199,14,62.535555555555554,100,91,100,0.1
balanced_large,1135,21.72413793103448,38,65.11467336683417,200,101,200,0.2
