Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,3245,13.650878126663118,26,257.9088888888889,100,87,100,0.1
larger_population,3249,16.41368664780036,51,295.4862311557789,200,70,100,0.15
more_generations,3447,11.342592592592593,28,280.2111111111111,100,66,200,0.1
aggressive_mutation,3337,12.091675447839831,22,289.02060606060604,100,41,100,0.3
large_tournament,3342,14.853503184713377,22,234.80080808080808,100,41,100,0.1
balanced_large,3204,15.68421052631579,31,289.5378391959799,200,50,200,0.2
