Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1554,18.29652996845426,34,95.3789898989899,100,91,100,0.1
larger_population,1607,16.2148070907195,30,113.03211055276383,200,83,100,0.15
more_generations,1562,17.91907514450867,82,97.83050505050505,100,101,200,0.1
aggressive_mutation,1620,16.32231404958678,25,104.27636363636364,100,73,100,0.3
large_tournament,1611,18.015267175572518,39,105.75414141414142,100,89,100,0.1
balanced_large,1514,18.602150537634408,13,126.4191959798995,200,77,200,0.2
