Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2225,14.62010744435917,36,140.37515151515152,100,55,100,0.1
larger_population,2075,20.89210827296988,61,160.2778894472362,200,100,100,0.15
more_generations,2101,20.68705171762929,50,153.24,100,108,200,0.1
aggressive_mutation,2191,11.295546558704453,46,183.17171717171718,100,95,100,0.3
large_tournament,2139,17.093023255813954,19,145.0321212121212,100,81,100,0.1
balanced_large,2099,17.002767892447608,39,154.01693467336685,200,83,200,0.2
