Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,941,20.52364864864865,17,42.01656565656565,100,48,100,0.1
larger_population,961,17.58147512864494,27,56.77693467336683,200,46,100,0.15
more_generations,951,20.284995808885164,38,50.33919191919192,100,57,200,0.1
aggressive_mutation,937,20.994940978077572,27,60.62464646464647,100,60,100,0.3
large_tournament,1011,16.72158154859967,26,49.38080808080808,100,45,100,0.1
balanced_large,933,14.482126489459212,18,49.274321608040204,200,37,200,0.2
