Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1200,14.529914529914532,8,44.74242424242424,100,27,100,0.1
larger_population,1021,25.52881108679796,52,53.68396984924623,200,88,100,0.15
more_generations,1049,18.174726989079563,49,43.410909090909094,100,68,200,0.1
aggressive_mutation,1123,12.945736434108527,30,53.23373737373738,100,49,100,0.3
large_tournament,1122,13.292117465224113,60,45.34020202020202,100,79,100,0.1
balanced_large,1063,18.978658536585368,21,49.404924623115576,200,65,200,0.2
