Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,58,7.936507936507936,11,15.558181818181819,100,100,100,0.1
balanced_large,55,14.0625,11,19.0521608040201,200,200,200,0.2
ania1,55,15.384615384615385,12,18.338442211055277,200,100,100,0.3
ania2,55,14.0625,22,19.096767676767676,100,200,200,0.9
ania3,55,9.836065573770492,15,25.010526315789473,400,100,100,0.5
