Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2052,21.888085268366957,34,117.47535353535353,100,53,100,0.1
larger_population,2061,22.13826973932754,45,114.97477386934673,200,64,100,0.15
more_generations,2105,18.188884570540225,11,117.59737373737374,100,61,200,0.1
aggressive_mutation,2125,17.315175097276263,62,129.91272727272727,100,81,100,0.3
large_tournament,2190,13.915094339622641,23,108.00363636363636,100,42,100,0.1
balanced_large,2016,19.133574007220215,68,94.01120603015076,200,87,200,0.2
