Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,744,6.532663316582915,6,25.47131313131313,100,25,100,0.1
larger_population,666,15.159235668789808,29,25.293165829145728,200,48,100,0.15
more_generations,744,10.684273709483794,10,20.855151515151515,100,29,200,0.1
aggressive_mutation,685,11.72680412371134,8,29.36868686868687,100,43,100,0.3
large_tournament,671,17.26263871763255,9,22.747272727272726,100,42,100,0.1
balanced_large,675,16.253101736972706,16,26.389849246231154,200,35,200,0.2
