Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1356,15.671641791044777,28,214.9359595959596,100,47,100,0.1
larger_population,1231,22.821316614420063,79,207.21140703517588,200,98,100,0.15
more_generations,1351,18.12121212121212,46,198.72747474747476,100,121,200,0.1
aggressive_mutation,1291,21.232458816351436,33,213.79636363636362,100,52,100,0.3
large_tournament,1411,13.43558282208589,19,165.52707070707072,100,38,100,0.1
balanced_large,1309,14.778645833333334,25,187.26005025125627,200,66,200,0.2
