Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2309,12.67019667170953,8,152.38666666666666,100,100,100,0.1
larger_population,2181,20.69090909090909,57,165.13221105527637,200,100,100,0.15
more_generations,2134,20.786933927245734,48,136.25575757575757,100,95,200,0.1
aggressive_mutation,2346,16.333808844507846,8,169.51939393939395,100,45,100,0.3
large_tournament,2369,12.64749262536873,23,142.6418181818182,100,42,100,0.1
balanced_large,2216,17.282568122433744,16,150.96276381909547,200,137,200,0.2
