Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1150,15.378955114054452,31,48.52242424242424,100,50,100,0.1
larger_population,1150,15.812591508052709,33,60.08969849246231,200,52,100,0.15
more_generations,1208,13.898788310762653,20,49.13717171717172,100,39,200,0.1
aggressive_mutation,1150,16.11962071480671,66,55.00121212121212,100,85,100,0.3
large_tournament,1150,17.680744452397995,13,46.81030303030303,100,54,100,0.1
balanced_large,1150,16.302765647743815,29,51.65628140703517,200,48,200,0.2
