Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,3391,13.78082888380371,62,321.36646464646464,100,81,100,0.1
larger_population,3188,16.435124508519003,67,363.976432160804,200,100,100,0.15
more_generations,3071,19.41747572815534,53,317.51757575757574,100,143,200,0.1
aggressive_mutation,3277,15.14759192128431,39,302.2008080808081,100,83,100,0.3
large_tournament,3434,10.689206762028608,27,216.45373737373737,100,63,100,0.1
balanced_large,3156,19.01462663587375,63,248.52487437185928,200,98,200,0.2
