Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,4603,21.79748555895345,52,319.37636363636364,100,71,100,0.1
larger_population,4421,23.617829993089153,35,342.0253768844221,200,95,100,0.15
more_generations,4571,18.360421503839973,10,296.3818181818182,100,64,200,0.1
aggressive_mutation,4376,24.434467276808842,39,399.68141414141417,100,58,100,0.3
large_tournament,4537,23.19282207550364,35,242.5628282828283,100,76,100,0.1
balanced_large,4187,27.6356723124784,32,256.0159296482412,200,193,200,0.2
