Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2544,20.87091757387247,45,139.5470707070707,100,100,100,0.1
larger_population,2611,18.93821794473766,47,140.6213567839196,200,85,100,0.15
more_generations,2591,17.536600891152133,44,152.11858585858585,100,90,200,0.1
aggressive_mutation,2626,16.819765600253405,38,164.77272727272728,100,57,100,0.3
large_tournament,2579,18.95034569453174,30,144.6480808080808,100,100,100,0.1
balanced_large,2553,22.045801526717558,49,132.96562814070353,200,68,200,0.2
