Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,926,18.342151675485006,43,34.81535353535354,100,62,100,0.1
larger_population,926,14.811407543698252,27,42.05542713567839,200,46,100,0.15
more_generations,926,15.045871559633028,18,39.26383838383838,100,37,200,0.1
aggressive_mutation,926,17.761989342806395,13,42.996767676767675,100,32,100,0.3
large_tournament,938,14.804722979109899,22,33.481212121212124,100,41,100,0.1
balanced_large,926,12.476370510396976,7,40.24537688442211,200,55,200,0.2
