Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1012,9.884238646482636,9,167.79252525252525,100,45,100,0.1
larger_population,992,12.29000884173298,21,161.606783919598,200,55,100,0.15
more_generations,975,11.684782608695652,23,144.7149494949495,100,77,200,0.1
aggressive_mutation,960,18.850380388841927,28,158.65656565656565,100,72,100,0.3
large_tournament,978,18.021793797150043,30,139.2210101010101,100,49,100,0.1
balanced_large,898,22.652885443583116,49,137.50708542713568,200,92,200,0.2
