Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1292,7.7142857142857135,8,56.70242424242424,100,27,100,0.1
larger_population,1292,7.117181883537024,8,68.28688442211055,200,27,100,0.15
more_generations,1292,7.977207977207977,11,66.43151515151516,100,30,200,0.1
aggressive_mutation,1292,7.0503597122302155,5,81.02848484848485,100,24,100,0.3
large_tournament,1297,8.533145275035261,4,41.76020202020202,100,41,100,0.1
balanced_large,1292,6.579898770788143,7,66.04221105527638,200,26,200,0.2
