Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2599,19.435833849969004,22,157.2509090909091,100,72,100,0.1
larger_population,2599,16.80537772087068,21,149.1705527638191,200,99,100,0.15
more_generations,2601,16.661326497917333,86,142.3270707070707,100,105,200,0.1
aggressive_mutation,2556,22.498483929654338,38,161.83535353535353,100,96,100,0.3
large_tournament,2658,16.677115987460812,41,120.86121212121212,100,60,100,0.1
balanced_large,2435,24.613003095975234,21,128.05050251256282,200,103,200,0.2
