Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1918,26.060138781804167,56,87.6759595959596,100,87,100,0.1
larger_population,2003,20.73605065294816,57,105.89798994974875,200,100,100,0.15
more_generations,2038,17.921868707209022,23,136.229898989899,100,42,200,0.1
aggressive_mutation,2170,15.793558401241754,28,104.2719191919192,100,62,100,0.3
large_tournament,2132,17.84200385356455,24,93.50323232323233,100,43,100,0.1
balanced_large,2013,17.56756756756757,68,99.15909547738694,200,102,200,0.2
