Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1772,6.441393875395987,25,121.26767676767676,100,44,100,0.1
larger_population,1511,25.198019801980198,36,112.67824120603015,200,78,100,0.15
more_generations,1623,17.572371762315896,40,101.03636363636363,100,95,200,0.1
aggressive_mutation,1882,2.638385928608381,9,178.3220202020202,100,28,100,0.3
large_tournament,1717,16.36629322942036,32,104.17030303030303,100,51,100,0.1
balanced_large,1599,19.567404426559357,57,100.7251256281407,200,76,200,0.2
