Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1034,20.40030792917629,31,48.68161616161616,100,72,100,0.1
larger_population,1020,19.17591125198098,26,54.95301507537688,200,45,100,0.15
more_generations,1072,9.229466553767992,40,46.77393939393939,100,75,200,0.1
aggressive_mutation,1064,16.28638867033832,31,48.32424242424243,100,73,100,0.3
large_tournament,1133,15.131086142322097,9,41.03979797979798,100,28,100,0.1
balanced_large,1059,15.482841181165202,17,46.67356783919598,200,52,200,0.2
