Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1722,10.40582726326743,15,94.31151515151515,100,34,100,0.1
larger_population,1583,19.152196118488256,37,103.6521608040201,200,100,100,0.15
more_generations,1547,22.49498997995992,45,96.66323232323232,100,84,200,0.1
aggressive_mutation,1584,21.35054617676266,21,121.33131313131314,100,82,100,0.3
large_tournament,1675,15.060851926977687,19,91.53757575757575,100,38,100,0.1
balanced_large,1581,19.29555895865237,35,100.44738693467336,200,143,200,0.2
