Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1096,28.31916285153695,34,44.74121212121212,100,53,100,0.1
larger_population,1099,22.3321554770318,11,45.0,200,76,100,0.15
more_generations,1054,25.248226950354606,14,41.19555555555556,100,88,200,0.1
aggressive_mutation,1116,22.553782095766827,7,46.85151515151515,100,65,100,0.3
large_tournament,1210,20.70773263433814,9,54.992525252525255,100,28,100,0.1
balanced_large,1109,21.458923512747877,32,46.221507537688446,200,71,200,0.2
