Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1284,14.966887417218544,34,47.66909090909091,100,78,100,0.1
larger_population,1257,17.789404839764554,32,48.74874371859296,200,68,100,0.15
more_generations,1365,14.366373902132997,32,55.74747474747475,100,51,200,0.1
aggressive_mutation,1306,15.578539107950872,11,58.55939393939394,100,45,100,0.3
large_tournament,1353,11.9140625,26,50.13959595959596,100,45,100,0.1
balanced_large,1267,18.729955099422707,48,58.46251256281407,200,67,200,0.2
