Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1062,14.767255216693421,29,46.41939393939394,100,72,100,0.1
larger_population,1028,21.825095057034222,33,43.360854271356786,200,94,100,0.15
more_generations,1041,22.371364653243848,40,56.16707070707071,100,59,200,0.1
aggressive_mutation,1079,21.355685131195333,17,50.88484848484848,100,36,100,0.3
large_tournament,1030,24.87235594456601,9,40.424646464646464,100,28,100,0.1
balanced_large,1011,27.99145299145299,13,41.07738693467336,200,66,200,0.2
