Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1234,11.41421392677674,14,46.786262626262626,100,54,100,0.1
larger_population,1264,8.868060562364816,12,50.81517587939698,200,31,100,0.15
more_generations,1272,14.688128772635814,23,50.377575757575755,100,42,200,0.1
aggressive_mutation,1246,13.831258644536653,36,50.235151515151514,100,55,100,0.3
large_tournament,1244,12.701754385964911,25,47.8379797979798,100,100,100,0.1
balanced_large,1240,14.067914067914067,33,52.1508040201005,200,52,200,0.2
