Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1250,12.46498599439776,31,47.496767676767675,100,50,100,0.1
larger_population,1179,16.971830985915492,15,53.02361809045226,200,34,100,0.15
more_generations,1158,21.00954979536153,24,43.093131313131316,100,43,200,0.1
aggressive_mutation,1169,21.75368139223561,28,57.18989898989899,100,84,100,0.3
large_tournament,1189,20.68045363575717,19,46.58767676767677,100,38,100,0.1
balanced_large,1110,20.086393088552914,38,44.051608040201,200,73,200,0.2
