Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1735,12.857860371672528,25,97.29131313131313,100,65,100,0.1
larger_population,1629,21.907957813998085,31,107.50361809045226,200,100,100,0.15
more_generations,1617,20.02967359050445,58,94.6810101010101,100,77,200,0.1
aggressive_mutation,1678,18.385214007782103,20,98.27373737373738,100,54,100,0.3
large_tournament,1723,16.19649805447471,9,90.93292929292929,100,28,100,0.1
balanced_large,1624,16.288659793814432,53,116.1856783919598,200,72,200,0.2
