Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,3393,10.214342418629267,29,224.49656565656565,100,48,100,0.1
larger_population,3341,11.402810925483957,39,246.676432160804,200,90,100,0.15
more_generations,3433,9.371700105596622,38,292.9684848484848,100,74,200,0.1
aggressive_mutation,3340,9.948773254246428,32,290.06767676767674,100,82,100,0.3
large_tournament,3323,10.479525862068966,19,248.36565656565656,100,86,100,0.1
balanced_large,3217,14.486975013290804,28,237.62477386934674,200,105,200,0.2
