Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,471,13.893967093235831,38,52.406666666666666,100,57,100,0.1
larger_population,453,21.0801393728223,36,46.016331658291456,200,55,100,0.15
more_generations,463,15.970961887477314,29,45.11878787878788,100,48,200,0.1
aggressive_mutation,484,16.69535283993115,47,46.96424242424242,100,84,100,0.3
large_tournament,490,19.27512355848435,34,36.20242424242424,100,53,100,0.1
balanced_large,493,14.853195164075995,20,46.011608040201004,200,39,200,0.2
