Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,3750,8.357771260997067,14,349.24040404040403,100,48,100,0.1
larger_population,3433,16.26829268292683,42,244.09035175879396,200,61,100,0.15
more_generations,3536,14.77464449264883,40,256.23151515151517,100,59,200,0.1
aggressive_mutation,3491,18.339181286549707,19,307.6157575757576,100,84,100,0.3
large_tournament,3511,15.702280912364946,24,220.85717171717172,100,69,100,0.1
balanced_large,3300,20.347574221578565,108,246.33005025125627,200,197,200,0.2
