Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1565,18.911917098445596,30,103.56525252525253,100,100,100,0.1
larger_population,1500,19.093851132686083,27,115.76195979899498,200,70,100,0.15
more_generations,1524,22.125702606029638,44,90.35232323232323,100,87,200,0.1
aggressive_mutation,1550,16.666666666666664,23,126.23959595959596,100,72,100,0.3
large_tournament,1495,22.418266735858847,65,102.14646464646465,100,84,100,0.1
balanced_large,1525,17.299349240780913,26,94.32889447236181,200,81,200,0.2
