Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1260,17.322834645669293,21,71.52727272727273,100,68,100,0.1
larger_population,1185,26.89697717458359,16,72.60768844221106,200,87,100,0.15
more_generations,1289,17.58312020460358,63,69.29131313131313,100,137,200,0.1
aggressive_mutation,1170,26.737633061991232,62,69.64646464646465,100,81,100,0.3
large_tournament,1336,16.5,9,70.63474747474747,100,56,100,0.1
balanced_large,1201,26.001232285890325,33,62.530804020100504,200,52,200,0.2
