Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1423,13.96614268440145,24,48.847070707070706,100,43,100,0.1
larger_population,1418,13.694461351186854,36,50.72597989949749,200,55,100,0.15
more_generations,1541,12.24373576309795,18,60.00484848484849,100,37,200,0.1
aggressive_mutation,1398,21.943048576214405,41,53.59232323232323,100,60,100,0.3
large_tournament,1388,12.814070351758794,10,38.892323232323236,100,29,100,0.1
balanced_large,1331,22.16374269005848,39,46.73211055276382,200,58,200,0.2
