Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2400,18.200408997955012,30,177.75010101010102,100,83,100,0.1
larger_population,2543,15.402528276779773,25,215.30170854271356,200,44,100,0.15
more_generations,2465,18.80764163372859,39,140.52161616161615,100,58,200,0.1
aggressive_mutation,2523,15.193277310924369,26,166.32,100,45,100,0.3
large_tournament,2585,12.609871534820824,46,132.77050505050505,100,65,100,0.1
balanced_large,2323,20.199244245963584,49,150.04673366834172,200,68,200,0.2
