Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1332,17.574257425742573,29,200.50141414141413,100,48,100,0.1
larger_population,1232,18.35652750165673,49,175.85804020100502,200,90,100,0.15
more_generations,1297,17.335882727852134,52,203.09474747474746,100,85,200,0.1
aggressive_mutation,1361,13.860759493670885,51,193.95414141414142,100,70,100,0.3
large_tournament,1296,16.76300578034682,20,176.33555555555554,100,75,100,0.1
balanced_large,1236,17.43486973947896,65,178.89507537688442,200,113,200,0.2
