Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,1284,17.480719794344473,30,196.00727272727272,100,49,100,0.1
larger_population,1264,18.504190844616378,57,190.65447236180904,200,100,100,0.15
more_generations,1274,20.820385332504664,43,187.7349494949495,100,166,200,0.1
aggressive_mutation,1273,15.862524785194976,57,184.1359595959596,100,88,100,0.3
large_tournament,1443,5.809399477806789,12,201.73474747474748,100,31,100,0.1
balanced_large,1252,20.102105934907467,43,192.96768844221106,200,62,200,0.2
