Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2139,20.483271375464685,42,93.82626262626263,100,61,100,0.1
larger_population,2104,20.393492243662507,28,121.09502512562814,200,47,100,0.15
more_generations,2212,14.363143631436316,12,106.17818181818181,100,31,200,0.1
aggressive_mutation,2103,18.456766188445133,41,100.9640404040404,100,60,100,0.3
large_tournament,2016,22.371967654986523,37,95.52040404040405,100,90,100,0.1
balanced_large,2111,18.114817688130334,32,93.94753768844221,200,77,200,0.2
