Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,695,18.427230046948356,29,24.55090909090909,100,48,100,0.1
larger_population,685,17.668269230769234,11,28.659447236180906,200,64,100,0.15
more_generations,691,16.444981862152357,19,24.132323232323234,100,70,200,0.1
aggressive_mutation,696,18.975552968568103,26,25.195151515151515,100,65,100,0.3
large_tournament,697,16.526946107784433,23,25.192929292929293,100,42,100,0.1
balanced_large,694,17.38095238095238,40,26.255276381909546,200,59,200,0.2
