Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,903,18.13236627379873,40,44.57030303030303,100,59,100,0.1
larger_population,842,21.528424976700837,32,45.7627135678392,200,51,100,0.15
more_generations,929,17.641843971631204,26,52.30808080808081,100,45,200,0.1
aggressive_mutation,836,23.44322344322344,35,49.19292929292929,100,67,100,0.3
large_tournament,871,16.00771456123433,20,44.17515151515151,100,55,100,0.1
balanced_large,861,16.569767441860463,11,45.32708542713568,200,72,200,0.2
