Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,59,7.8125,4,17.93919191919192,100,23,100,0.1
larger_population,58,1.694915254237288,5,19.800452261306532,200,24,100,0.15
more_generations,55,12.698412698412698,17,17.061212121212122,100,36,200,0.1
aggressive_mutation,59,13.23529411764706,7,22.03050505050505,100,26,100,0.3
large_tournament,60,1.639344262295082,2,19.483838383838386,100,22,100,0.1
balanced_large,59,7.8125,7,19.16316582914573,200,26,200,0.2
