Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,975,14.995640802092414,45,160.16808080808082,100,100,100,0.1
larger_population,875,21.735241502683365,27,151.86879396984924,200,100,100,0.15
more_generations,977,15.775862068965518,26,140.74040404040403,100,45,200,0.1
aggressive_mutation,882,20.54054054054054,30,170.95757575757577,100,100,100,0.3
large_tournament,964,13.464991023339318,19,130.01252525252525,100,38,100,0.1
balanced_large,896,19.424460431654676,61,140.61281407035176,200,80,200,0.2
