Parameter Set,Best Fitness,Improvement %,Convergence Gen,Final Diversity,Population Size,Executions,Generations,Mutation Rate
baseline,2247,18.08239154210718,34,149.1288888888889,100,90,100,0.1
larger_population,2165,19.21641791044776,55,143.28065326633165,200,74,100,0.15
more_generations,2496,9.499637418419145,29,167.2789898989899,100,48,200,0.1
aggressive_mutation,2140,21.58299743495786,33,160.81676767676768,100,52,100,0.3
large_tournament,2326,13.627924248050501,20,124.52080808080808,100,54,100,0.1
balanced_large,2256,15.663551401869158,40,166.04020100502512,200,78,200,0.2
